,name,dosage_form,dose,atc_code,scope,dose_form,strength_size
666,estradiol cypionate + medroxyprogesterone acetate,parenteral  general injections  im,5 mg + 25 mg,G03AA08,WHO,,
667,etanercept,,,,WHO,,
671,ethambutol,parenteral  general injections  iv,1000 mg per 10 mL; 2000 mg per 20 mL,J04AK02,WHO,,
673,ethambutol + isoniazid,oral  solid,400 mg + 150 mg tablet,J04AM03,WHO,,
674,ethambutol + isoniazid + pyrazinamide + rifampicin,oral  solid,275 mg + 75 mg + 400 mg + 150 mg tablet,J04AM06,WHO,,
675,ethambutol + isoniazid + rifampicin,oral  solid,275 mg + 75 mg + 150 mg tablet,"J04AK02, J04AC01, J04AB02",WHO,,
676,ethanol,local  topical  solution,70% (denatured),D08AX08,WHO,,
677,ether,respiratory  inhalation  solution,,N01AA01,WHO,,
678,ethinylestradiol + etonogestrel,local  vaginal  vaginal ring,2.7 mg + 11.7 mg,G02BB01,WHO,,
679,ethinylestradiol + levonorgestrel,oral  solid,50 µg + 250 µg [4],G03AA07,WHO,,
681,ethinylestradiol + norethisterone,oral  solid,35 µg + 1 mg,G03AA05,WHO,,
682,ethionamide,oral  solid  dispersible tablet,125 mg,J04AD03,WHO,,
684,ethosuximide,oral  liquid,250 mg per 5 mL,N03AD01,WHO,,
685,etonogestrel-releasing implant,implant  subdermal,68 mg single rod,G03AC08,WHO,,
686,etoposide,parenteral  general injections  iv,20 mg per  mL in 5 mL ampoule,L01CB01,WHO,,
701,everolimus,oral  solid  dispersible tablet,2 mg; 3 mg; 5 mg,L01EG02,WHO,,
702,fentanyl,local  topical  transdermal patch,12 µg/hour; 25 µg/hour; 50 µg/hour; 75 µg/hour; 100 µg/hour,N01AH01,WHO,,
704,ferrous salt,oral  liquid,25 mg per  mL iron (as sulfate),"B03AA07, B03AA02",WHO,,
705,ferrous salt + folic acid,oral  solid,60 mg iron + 2.8 mg,"B03AD02, B03AD03, B03AD05",WHO,,
710,fexinidazole,oral  solid,600 mg,P01CA03,WHO,,
712,fexofenadine,,,,WHO,,
713,fifth generation cephalosporins,.,,,WHO,,
714,filgrastim,parenteral  general injections  sc,120 µg per 0.2 mL in prefilled syringe; 300 µg per 0.5 mL in prefilled syringe; 480 µg per 0.8 mL in prefilled syringe; 300 µg per  mL in 1 mL vial; 480 µg per 1.6 mL in 1.6 mL vial,L03AA02,WHO,,
715,fingolimod,oral  solid,0.25 mg; 0.5 mg,L04AE01,WHO,,
716,flomoxef,parenteral  general injections  iv,0.5 g in vial powder for injection; 1 g in vial powder for injection,J01DC14,WHO,,
717,fluconazole,parenteral  general injections  iv,2 mg per  mL in vial,J02AC01,WHO,,
719,flucytosine,parenteral  general injections  iv,2.5 g per 250 mL infusion,J02AX01,WHO,,
720,fludarabine,parenteral  general injections  iv,50 mg in vial (fludarabine phosphate) powder for injection,L01BB05,WHO,,
721,fludrocortisone,oral  solid,100 µg (acetate),H02AA02,WHO,,
722,flunisolide,,,,WHO,,
723,fluorescein,local  ophthalmological  solution (eye drops),1% (sodium salt),S01JA01,WHO,,
724,fluoride,local  dental  gel,2500 to 12500 ppm fluoride (any type),"A01AA01, A01AA04",WHO,,
725,fluorouracil,local  topical  ointment,5%,L01BC02,WHO,,
732,fluoxetine,oral  solid,20 mg (as hydrochloride),N06AB03,WHO,,
738,fluphenazine,parenteral  general injections  im,25 mg per  mL in ampoule (decanoate); 25 mg per  mL in ampoule (enanthate),N05AB02,WHO,,
739,flutamide,,,,WHO,,
740,fluticasone,,,,WHO,,
741,fluticasone + formoterol,,,,WHO,,
742,fluticasone furoate + vilanterol,,,,WHO,,
743,fluvastatin,,,,WHO,,
745,folic acid,oral  solid,400 µg,B03BB01,WHO,,
749,fomepizole,parenteral  general injections  iv,5 mg per  mL in 20 mL ampoule (sulfate); 1 g per  mL in 1.5 mL ampoule (base),V03AB34,WHO,,
750,fosfomycin (injection),parenteral  general injections  iv,2 g in vial (as sodium) powder for injection; 4 g in vial (as sodium) powder for injection,J01XX01,WHO,,
754,fourth generation cephalosporins,.,,,WHO,,
755,fresh-frozen plasma,parenteral  general injections  iv,,B05AX03,WHO,,
756,fulvestrant,parenteral  general injections  iv,250 mg per 5 mL,L02BA03,WHO,,
757,furosemide,parenteral  general injections  iv,10 mg per  mL in 2 mL ampoule; 10 mg per  mL in 5 mL ampoule,C03CA01,WHO,,
760,gabapentin,oral  solid,100 mg; 200 mg; 300 mg; 400 mg; 600 mg; 800 mg,N02BF01,WHO,,
761,gallamine,parenteral  general injections  iv,40 mg per  mL in 2 mL ampoule (gallamine triethiodide),M03AC02,WHO,,
762,gatifloxacin,oral  solid,200 mg; 400 mg,J01MA16,WHO,,
763,gefitinib,,,,WHO,,
764,gemcitabine,parenteral  general injections  iv,200 mg in vial powder for injection; 1 g in vial powder for injection,L01BC05,WHO,,
766,gentamicin,parenteral  general injections  unspecified,10 mg per  mL in 2 mL vial (as sulfate); 40 mg per  mL in 2 mL vial (as sulfate),J01GB03,WHO,,
784,glass ionomer cement,local  dental  powder + liquid,single-use capsules: 0.4 g powder + 0.09 mL liquid; multi-use bottle: powder + liquid,,WHO,,
785,glatiramer acetate,parenteral  general injections  sc,20 mg per  mL in pre-filled syringe; 40 mg per  mL in pre-filled syringe,L03AX13,WHO,,
787,glecaprevir + pibrentasvir,oral  solid,50 mg + 20 mg granules,J05AP57,WHO,,
788,glibenclamide,oral  solid,5 mg; 2.5 mg,A10BB01,WHO,,
789,gliclazide,oral  solid,30 mg controlled-release; 60 mg controlled-release; 80 mg controlled-release,A10BB09,WHO,,
790,glucagon,parenteral  general injections  unspecified,1 mg per  mL,H04AA01,WHO,,
791,glucose,parenteral  general injections  iv,5% isotonic; 10% hypertonic,B05CX01,WHO,,
793,glucose + sodium chloride,parenteral  general injections  iv,4% + 0.18% (equivalent to na+ 30 mmol/l and cl- 30 mmol/l; 5% + 0.9% (equivalent to na+ 150 mmol/l and cl- 150 mmol/l); 5% + 0.45% (equivalent to na+ 75 mmol/l and cl- 75 mmol/l),B05BB02,WHO,,
794,glutaral,local  topical  solution,2%,V07AV,WHO,,
795,glyceryl trinitrate,oral  solid,500 µg sublingual tablet,C01DA02,WHO,,
796,glycopyrronium,,,,WHO,,
797,golimumab,,,,WHO,,
801,goserelin,,,,WHO,,
803,granisetron,,,,WHO,,
805,griseofulvin,oral  liquid,125 mg per 5 mL,D01BA01,WHO,,
806,haemophilus influenzae type b vaccine,all vaccines should comply with the who requirements for biological substances.,,J07AG01,WHO,,
807,haloperidol,oral  liquid,2 mg per  mL,N05AD01,WHO,,
809,haloperidol decanoate,,,,WHO,,
810,halothane,respiratory  inhalation  liquid,,N01AB01,WHO,,
811,heparin sodium,parenteral  general injections  iv,1000 iu per  mL in 1 mL ampoule; 20000 iu per  mL in 1 mL ampoule; 5000 iu per  mL in 1 mL ampoule,B01AB01,WHO,,
814,hepatitis A vaccine,all vaccines should comply with the who requirements for biological substances.,,J07BC02,WHO,,
815,hepatitis B vaccine,all vaccines should comply with the who requirements for biological substances.,,J07BC01,WHO,,
816,homatropine,local  ophthalmological  solution (eye drops),2% (hydrobromide),S01FA05,WHO,,
818,human papilloma virus (HPV) vaccine,all vaccines should comply with the who requirements for biological substances.,,J07BM01,WHO,,
819,hydralazine,parenteral  general injections  iv,20 mg in ampoule powder for injection (hydrochloride),C02DB02,WHO,,
821,hydrochlorothiazide,oral  liquid,50 mg per 5 mL,C03AA03,WHO,,
824,hydrocortisone,parenteral  general injections  unspecified,100 mg in vial (as sodium succinate),H02AB09,WHO,,
837,hydromorphone,,,,WHO,,
838,hydroxocobalamin,parenteral  general injections  im,1 mg per  mL in 1 mL ampoule (as acetate); 1 mg per  mL in 1 mL ampoule (as hydrochloride); 1 mg per  mL in 1 mL ampoule (as sulfate),B03BA03,WHO,,
839,hydroxycarbamide (hydroxyurea),oral  solid,200 mg; 250 mg; 300 mg; 400 mg; 500 mg; 1 g,L01XX05,WHO,,
842,hydroxychloroquine,,,,WHO,,
845,hyoscine butylbromide,parenteral  general injections  unspecified,20 mg per  mL injection,A03BB01,WHO,,
846,hyoscine hydrobromide,local  topical  transdermal patch,1 mg per 72 hours transdermal patch,A04AD01,WHO,,
847,hypochlorous acid,local  topical  solution,,V07AV,WHO,,
848,hypromellose,local  ophthalmological  solution (eye drops),0.3%,S01KA02,WHO,,
849,ibrutinib,oral  solid,140 mg,L01EL01,WHO,,
850,ibuprofen,parenteral  general injections  iv,5 mg per  mL,C01EB16,WHO,,
853,idoxuridine,local  ophthalmological  solution (eye drops),0.1%,S01AD01,WHO,,
854,ifosfamide,parenteral  general injections  iv,500 mg in vial powder for injection; 1 g in vial powder for injection; 2 g in vial powder for injection,L01AA06,WHO,,
864,imatinib,oral  solid,100 mg; 400 mg,L01EA01,WHO,,
867,imipenem + cilastatin,parenteral  general injections  iv,250 mg (as monohydrate) + 250 mg (as sodium salt) powder for injection; 500 mg (as monohydrate) + 500 mg (as sodium salt) powder for injection,J01DH02,WHO,,
873,imipenem + cilastatin + relebactam,parenteral  general injections  iv,500 mg + 500 mg + 250 mg powder for injection,J01DH56,WHO,,
876,indapamide,,,,WHO,,
878,indinavir,oral  solid,400 mg (as sulfate),J05AE02,WHO,,
879,indometacin,,,,WHO,,
880,infliximab,,,,WHO,,
884,influenza vaccine (seasonal),all vaccines should comply with the who requirements for biological substances.,,"J07BB01, J07BB02, J07BB03",WHO,,
885,"insulin (analogue, long-acting)",parenteral  general injections  sc,100 iu per  mL in 3 mL cartridge; 100 iu per  mL in 3 mL pre-filled pen,"A10AE06, A10AE05, A10AE04",WHO,,
887,"insulin (human, intermediate-acting)",parenteral  general injections  sc,40 iu per  mL in 10 mL vial as compound insulin zinc suspension or isophane insulin; 100 iu per  mL in 10 mL vial as compound insulin zinc suspension or isophane insulin; 100 iu per  mL in 3 mL cartridge as compound insulin zinc suspension or isophane insulin; 100 iu per  mL in 3 mL pre-filled pen as compound insulin zinc suspension or isophane insulin,A10AC01,WHO,,
889,"insulin (human, short-acting)",parenteral  general injections  sc,40 iu per  mL in 10 mL vial (soluble); 100 iu per  mL in 10 mL vial (soluble); 100 iu per  mL in 3 mL cartridge (soluble); 100 iu per  mL in 3 mL pre-filled pen (soluble),A10AC01,WHO,,
891,insulin analogues,not specified,,"A10AE04, A10AE05, A10AB05, A10AD05, A10AB04, A10AC04, A10AD04, A10AB06, A10AE06",WHO,,
893,insulin degludec,parenteral  general injections  sc,100 units per  mL,,WHO,,
896,insulin detemir,,,,WHO,,
899,insulin glargine,parenteral  general injections  sc,100 units per  mL,A10AE04,WHO,,
902,intraperitoneal dialysis solution,parenteral solution,,,WHO,,
903,iodine,,,,WHO,,
905,iodine + potassium iodide (Lugol's solution),oral  liquid,13% w/v (about 130 mg/mL total iodine),H03CA,WHO,,
906,iohexol,parenteral  general injections  unspecified,140 to 350 mg iodine per  mL in 5 mL ampoule; 140 to 350 mg iodine per  mL in 10 mL ampoule; 140 to 350 mg iodine per  mL in 20 mL ampoule,V08AB02,WHO,,
907,ipecacuanha,oral  liquid,0.14% ipecacuanha alkaloids calculated as emetine,V03AB01,WHO,,
908,ipratropium bromide,respiratory  inhalation  aerosol,20 µg per  dose,R03BB01,WHO,,
910,irinotecan,parenteral  general injections  iv,40 mg per 2 mL in 2 mL vial; 100 mg per 5 mL in 5 mL vial; 500 mg per 25 mL in 25 mL vial,L01CE02,WHO,,
913,isoflurane,respiratory  inhalation  liquid,,N01AB06,WHO,,
914,isoniazid,parenteral  general injections  iv,100 mg per  mL,J04AC01,WHO,,
916,isoniazid + pyrazinamide + rifampicin,oral  solid  dispersible tablet,50 mg + 150 mg + 75 mg,J04AM05,WHO,,
917,isoniazid + pyridoxine + sulfamethoxazole + trimethoprim,oral  solid,300 mg + 25 mg + 800 mg + 160 mg tablet (scored),J04AC51,WHO,,
918,isoniazid + rifampicin,oral  solid  dispersible tablet,50 mg + 75 mg,J04AM02,WHO,,
919,isoniazid + rifapentine,oral  solid,300 mg + 300 mg tablet (scored),J04AC51,WHO,,
920,isoprenaline,parenteral  general injections  iv,20 µg per  mL in ampoule (hydrochloride),C01CA02,WHO,,
922,isosorbide dinitrate,oral  solid,5 mg sublingual tablet,C01DA08,WHO,,
923,itraconazole,oral  liquid,10 mg per  mL,J02AC02,WHO,,
929,ivermectin,oral  solid  tablet,3 mg,P02CF01,WHO,,
937,kanamycin,,,,WHO,,
939,kanamycin (injection),parenteral  general injections  iv,1000 mg powder for injection (vial),J01GB04,WHO,,
940,ketamine,parenteral  general injections  unspecified,50 mg per  mL in 10 mL vial (as hydrochloride),N01AX03,WHO,,
941,ketoconazole,oral  solid  tablet,200 mg,H02CA03,WHO,,
942,lactulose,oral  liquid,3.1 to 3.7 g per 5 mL oral liquid,A06AD11,WHO,,
943,lamivudine,oral  liquid,50 mg per 5 mL,J05AF05,WHO,,
944,lamivudine + nevirapine + zidovudine,oral  solid,30 mg + 50 mg + 60 mg tablet; 150 mg + 200 mg + 300 mg tablet,J05AR05,WHO,,
945,lamivudine + tenofovir,,,,WHO,,
947,lamivudine + zidovudine,oral  solid,30 mg + 60 mg tablet; 150 mg + 300 mg tablet,J05AR01,WHO,,
948,lamotrigine,oral  solid,"25 mg tablet; 50 mg tablet; 100 mg tablet; 200 mg tablet; 2 mg tablet (chewable, dispersible); 5 mg tablet (chewable, dispersible); 25 mg tablet (chewable, dispersible); 50 mg tablet (chewable, dispersible); 100 mg tablet (chewable, dispersible); 200 mg tablet (chewable, dispersible)",N03AX09,WHO,,
949,latanoprost,local  ophthalmological  solution (eye drops),50 µg per  mL eye drops,S01EE01,WHO,,
950,ledipasvir + sofosbuvir,oral  solid,90 mg + 400 mg tablet,J05AP51,WHO,,
951,lenalidomide,oral  solid,25 mg,L04AX04,WHO,,
952,letrozole,oral  solid  dosage form,2.5 mg,L02BG04,WHO,,
953,leuprorelin,parenteral  general injections  im,7.5 mg in prefilled syringe; 22.5 mg in prefilled syringe,L02AE02,WHO,,
955,levamisole,oral  solid  tablet,50 mg  (as hydrochloride); 150 mg  (as hydrochloride),P02CE01,WHO,,
956,levetiracetam,oral  liquid,100 mg per  mL,N03AX14,WHO,,
958,levodopa,oral  solid,250 mg,N04BA01,WHO,,
959,levodopa + benserazide,,,,WHO,,
960,levodopa + carbidopa,oral  solid,100 mg + 10 mg tablet; 250 mg + 25 mg tablet; 100 mg + 25 mg tablet,N04BA02,WHO,,
961,levofloxacin,oral  solid  dispersible tablet,100 mg,J01MA12,WHO,,
962,levonorgestrel,oral  solid,750 µg [2]; 1.5 mg [1],G03AD01,WHO,,
965,levonorgestrel-releasing implant,implant  subdermal,75 mg per  rod (two-rods),G03AC03,WHO,,
966,levothyroxine,oral  solid,50 µg (sodium salt); 100 µg (sodium salt); 25 µg (sodium salt),H03AA01,WHO,,
967,lidocaine,parenteral  general injections  iv,20 mg per  mL in 5 mL ampoule (hydrochloride),C01BB01,WHO,,
969,lidocaine + epinephrine,parenteral  locoregional injections  other,1% (lidocaine hydrochloride or lidocaine sulfate) + 1:200 000 epinephrine in vial; 2% (lidocaine hydrochloride or lidocaine sulfate) + 1:200 000 epinephrine in vial,N01BB52,WHO,,
970,lindane,local  topical  cream,1%,P03AB02,WHO,,
971,linezolid,parenteral  general injections  iv,2 mg per  mL in 300 mL bag,J01XX08,WHO,,
976,liraglutide,parenteral  general injections  sc,6 mg per  mL in 3 mL pre-filled pen,A10BJ02,WHO,,
977,lisinopril + amlodipine,oral  solid,10 mg + 5 mg; 20 mg + 5 mg; 20 mg + 10 mg,C09BB03,WHO,,
978,lisinopril + hydrochlorothiazide,oral  solid,10 mg + 12.5 mg; 20 mg + 12.5 mg; 20 mg + 25 mg,C09BA03,WHO,,
979,lisocabtagene maraleucel,,,,WHO,,
980,lithium carbonate,oral  solid,300 mg,N05AN01,WHO,,
981,loperamide,oral  solid  dosage form,2 mg,A07DA03,WHO,,
982,lopinavir + ritonavir,oral  solid  tablet,100 mg + 25 mg tablet (heat-stable); 200 mg + 50 mg tablet (heat-stable),J05AR10,WHO,,
983,loratadine,oral  liquid,1 mg per  mL,R06AX13,WHO,,
984,lorazepam,,,,WHO,,
986,losartan,oral  solid,25 mg tablet; 50 mg tablet; 100 mg tablet,C09CA01,WHO,,
988,lovastatin,,,,WHO,,
990,magnesium sulfate,parenteral  general injections  iv,500 mg per  mL in 2 mL ampoule (equivalent to 1 g in 2 mL; 50% weight/volume),B05XA05,WHO,,
992,mannitol,parenteral  general injections  iv,10% solution; 20% solution,B05BC01,WHO,,
994,measles vaccine,all vaccines should comply with the who requirements for biological substances.,,J07BD01,WHO,,
995,mebendazole,oral  solid  tablet,100 mg (chewable); 500 mg (chewable),P02CA01,WHO,,
1000,medroxyprogesterone acetate,parenteral  general injections  im,150 mg per  mL in 1 mL vial,G03AC06,WHO,,
1002,mefloquine,oral  solid,250 mg tablet (hydrochloride),P01BC02,WHO,,
1005,meglumine antimoniate,parenteral  general injections  im,1.5 g per 5 mL in 5 mL ampoule,P01CB01,WHO,,
1008,meglumine iotroxate,parenteral  general injections  iv,5 to 8 g iodine (as meglumine) in 100 to 250 mL,V08AC02,WHO,,
1009,melarsoprol,parenteral  general injections  iv,3.6% in 5 mL ampoule solution (180 mg of active compound),P01CD01,WHO,,
1011,melphalan,parenteral  general injections  iv,50 mg in vial powder for injection,L01AA03,WHO,,
1012,meningococcal meningitis vaccine,all vaccines should comply with the who requirements for biological substances.,,"J07AH01, J07AH02, J07AH03, J07AH04, J07AH05, J07AH06, J07AH07, J07AH08, J07AH09, J07AH10",WHO,,
1013,mercaptopurine,oral  solid,50 mg tablet,L01BB02,WHO,,
1017,meropenem,parenteral  general injections  iv,500 mg in vial (as trihydrate) powder for injection; 1 g in vial (as trihydrate) powder for injection,J01DH02,WHO,,
1022,meropenem + vaborbactam,parenteral  general injections  iv,1 g in vial + 1 g in vial powder for injection,J01DH52,WHO,,
1025,mesalazine,,,,WHO,,
1027,mesna,parenteral  general injections  iv,100 mg per  mL in 4 mL ampoule; 100 mg per  mL in 10 mL ampoule,V03AF01,WHO,,
1035,metformin,oral  solid,500 mg (hydrochloride),A10BA02,WHO,,
1036,methadone,oral  liquid,5 mg per 5 mL (methadone hydrochloride); 10 mg per 5 mL (methadone hydrochloride); 5 mg per  mL concentrate for oral liquid (methadone hydrochloride); 10 mg per  mL concentrate for oral liquid (methadone hydrochloride),N07BC02,WHO,,
1038,methimazole,oral  solid,5 mg; 10 mg; 20 mg,H03BB02,WHO,,
1039,methionine,oral  solid,250 mg (dl),V03AB26,WHO,,
1040,methotrexate,parenteral  general injections  iv,50 mg in vial (as sodium salt),L01BA01,WHO,,
1055,methoxy polyethylene glycol-epoetin beta,,,,WHO,,
1056,methyldopa,oral  solid,250 mg,C02AB01,WHO,,
1058,methylergometrine,,,,WHO,,
1059,methylphenidate,multiple formulations and strengths.,,N06BA04,WHO,,
1060,methylprednisolone,parenteral  general injections  iv,40 mg per  mL in 1 mL single-dose vial (as sodium succinate); 40 mg per  mL in 5 mL multi-dose vial (as sodium succinate); 80 mg per  mL in 1 mL single-dose vial (as sodium succinate),H02AB04,WHO,,
1062,methylthioninium chloride,parenteral  general injections  iv,10 mg per  mL in 10 mL ampoule,V03AB17,WHO,,
1063,metoclopramide,oral  liquid,5 mg per 5 mL,A03FA01,WHO,,
1065,metoprolol,,,,WHO,,
1069,metronidazole,oral  liquid,200 mg per 5 mL (as benzoate),A01AB17,WHO,,
1085,micafungin,parenteral  general injections  iv,50 mg in vial (as sodium) powder for injection; 100 mg in vial (as sodium) powder for injection,J02AX05,WHO,,
1086,miconazole,local  topical  cream,2% (nitrate),D01AC02,WHO,,
1087,midazolam,parenteral  general injections  unspecified,1 mg per  mL in 5 mL vial (for buccal administration); 5 mg per  mL in 1 mL vial (for buccal administration); 5 mg per  mL in 3 mL vial (for buccal administration),N05CD08,WHO,,
1091,mifepristone - misoprostol,oral  solid,200 mg + 200 µg; 200 mg [1] + 200 µg [4] in co-package,G03XB51,WHO,,
1093,miltefosine,oral  solid,10 mg; 50 mg,P01CX04,WHO,,
1096,misoprostol,local  vaginal  tablet,25 µg,G02AD06,WHO,,
1099,mometasone,,,,WHO,,
1100,mometasone + formoterol,,,,WHO,,
1101,morphine,parenteral  general injections  iv,10 mg in 1 mL ampoule (morphine hydrochloride or morphine sulfate),N02AA01,WHO,,
