Innovation,Alternative Names,Category,Disease,Indication,Stage,trial_completion_date,TargetPop,is_on_fda,dates_fda,records_fda,time_to_regulatory_approval,time_approval_to_first_launch,time_launch_to_20lmic,time_to_market,expected_date_of_regulatory_approval,expected_date_of_first_launch,expected_date_of_market,Readiness,LeadOrg,Impact Score,Country,Impact Potential,Disease Burden,Epidemiological impact,Alignment with goals,Cost-effectiveness,Budget Impact,Resource optimization,Introduction Readiness,Financing,Policy,Uptake/Delivery,Probability of technical and regulatory success,Procurement model,Regulatory approvals,Policy readiness,Social context,Guidelines and training,Policy implemented,Advance launch and planning/timeline,Demand forecasting and generation,Potential supply chain,Delivery model,source_file
INO-9012,Molecule Z,Biological,hiv,hiv,Phase 2,2021-05-17,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Willing and able to provide written informed consent
2. Male or female, age ≥ 18 and ≤ 65 years
3. HIV-1 infection, documented by any licensed rapid HIV test or HIV enzyme or c...",No,2021-08-11,FDA-73171,4.41,0.98,21.0,26.39,2025-10-13,2026-10-06,2047-10-06,94,Gilead,75,Senegal,58.5,43,51,25,84,50,98,45,1,3,1,True,False,True,True,True,False,False,False,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
CELLECTRA® 2000,AltName B,Device,hiv,hiv,Phase 2,2021-05-17,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Willing and able to provide written informed consent
2. Male or female, age ≥ 18 and ≤ 65 years
3. HIV-1 infection, documented by any licensed rapid HIV test or HIV enzyme or c...",Yes,2021-11-06,FDA-20933,4.41,0.98,21.0,26.39,2025-10-13,2026-10-06,2047-10-06,55,GSK,9,Kenya,57.16666666666666,49,57,98,32,22,85,36,0,2,2,False,False,False,False,True,False,True,False,False,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Etravirine,Comp Beta,Drug,hiv,hiv,Phase 2,2012-10-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male or female patients, aged 18 years or above
* Patients with documented HIV-1 infection
* On current HAART regimen for at least 12 weeks continuous duration at screening, and...",Yes,2013-01-15,FDA-70551,4.41,0.98,21.0,26.39,2017-02-27,2018-02-20,2039-02-20,10,Novartis,21,Overall,33.0,9,47,6,92,42,2,55,2,2,2,True,True,False,True,False,True,False,True,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Ritonavir,Molecule Z,Drug,hiv,hiv,Phase 2,2012-10-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male or female patients, aged 18 years or above
* Patients with documented HIV-1 infection
* On current HAART regimen for at least 12 weeks continuous duration at screening, and...",No,2013-06-11,FDA-97108,4.41,0.98,21.0,26.39,2017-02-27,2018-02-20,2039-02-20,90,J&J,22,Kenya,31.83333333333333,0,0,34,54,54,49,64,0,3,4,False,False,False,True,True,False,True,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Darunavir,Comp Beta,Drug,hiv,hiv,Phase 2,2012-10-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male or female patients, aged 18 years or above
* Patients with documented HIV-1 infection
* On current HAART regimen for at least 12 weeks continuous duration at screening, and...",No,2013-05-17,FDA-23333,4.41,0.98,21.0,26.39,2017-02-27,2018-02-20,2039-02-20,79,J&J,36,South Africa,49.83333333333334,59,11,2,80,78,69,55,2,3,1,True,True,False,False,True,True,True,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
omega 3 fatty acids,AltName A,Drug,hiv,hiv,Phase 3,2015-06-01,"Sex: ALL; Age: >20 Years; Criteria: Inclusion Criteria:

* Seropositive HIV patients from 20 to 55 years old
* On clinical score A1, A2, B1 or B2
* Patients who received highly active antiretroviral therapy for at least 3 months.

Exclu...",No,2015-12-23,FDA-11890,2.62,0.32,5.0,7.94,2018-01-12,2018-05-09,2023-05-10,14,J&J,86,Overall,66.0,52,59,62,55,70,98,73,1,4,3,False,True,True,True,True,False,True,False,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
"Doravirine, Tenofovir, Lamivudine",AltName A,Drug,hiv,hiv,Phase 3,2023-09-07,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Is HIV-1 positive as determined by a positive result on an enzyme-immunoassay, has screening plasma HIV-1 RNA (determined by the central laboratory) ≥1000 copies/mL within 45 da...",Yes,2024-05-27,FDA-34261,2.62,0.32,5.0,7.94,2026-04-20,2026-08-15,2031-08-16,75,Merck,27,Senegal,55.83333333333334,86,73,66,41,8,61,45,1,3,1,False,True,True,False,True,True,False,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
ATRIPLA™,TradeName X,Drug,hiv,hiv,Phase 3,2023-09-07,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Is HIV-1 positive as determined by a positive result on an enzyme-immunoassay, has screening plasma HIV-1 RNA (determined by the central laboratory) ≥1000 copies/mL within 45 da...",No,2024-04-05,FDA-15275,2.62,0.32,5.0,7.94,2026-04-20,2026-08-15,2031-08-16,77,Merck,7,Overall,52.33333333333334,55,73,10,71,36,69,36,1,1,2,True,False,False,True,False,False,False,False,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
LIPO-5,TradeName X,Biological,hiv,hiv,Phase 2,2016-03-01,"Sex: ALL; Age: >21 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Written and signed informed consent
* Subject at low risk to contract HIV i.e.

  * no history of injecting drug use in the previous ten years;
  * no gonorrhea or syphilis in t...",No,2016-12-13,FDA-63903,4.41,0.98,21.0,26.39,2020-07-28,2021-07-21,2042-07-21,40,GSK,99,Senegal,47.5,66,10,58,0,51,100,64,2,4,1,True,True,False,True,True,True,True,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
MVA HIV-B (MVATG17401),Product Alpha,Biological,hiv,hiv,Phase 2,2016-03-01,"Sex: ALL; Age: >21 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Written and signed informed consent
* Subject at low risk to contract HIV i.e.

  * no history of injecting drug use in the previous ten years;
  * no gonorrhea or syphilis in t...",No,2016-07-13,FDA-42423,4.41,0.98,21.0,26.39,2020-07-28,2021-07-21,2042-07-21,86,AstraZeneca,65,South Africa,44.33333333333334,52,78,9,28,56,43,55,2,3,1,True,True,False,True,True,False,True,False,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
"GTU®-MultiHIV B: 0.5 mL IM via Biojector® 2000 and 0.5mL IntraDermic, 3 shots",TradeName X,Biological,hiv,hiv,Phase 2,2016-03-01,"Sex: ALL; Age: >21 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Written and signed informed consent
* Subject at low risk to contract HIV i.e.

  * no history of injecting drug use in the previous ten years;
  * no gonorrhea or syphilis in t...",No,2017-02-19,FDA-36931,4.41,0.98,21.0,26.39,2020-07-28,2021-07-21,2042-07-21,67,AstraZeneca,29,Kenya,50.83333333333334,19,26,6,94,66,94,27,1,1,1,False,True,False,True,False,False,False,False,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Doxepin,Molecule Z,Drug,hiv,hiv,Phase 4,2010-08-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Insomnia
* HIV Seropositive
* Stable HIV Disease

Exclusion Criteria:

* Other psychiatric illnesses
* Unstable HIV disease...",Yes,2011-01-12,FDA-10555,0.56,0.15,3.5,4.21,2011-02-21,2011-04-17,2014-10-16,65,GSK,88,Overall,56.83333333333334,30,67,93,60,70,21,27,0,1,2,False,False,True,False,False,False,False,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Temazepam,TradeName X,Drug,hiv,hiv,Phase 4,2010-08-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Insomnia
* HIV Seropositive
* Stable HIV Disease

Exclusion Criteria:

* Other psychiatric illnesses
* Unstable HIV disease...",Yes,2010-12-29,FDA-41152,0.56,0.15,3.5,4.21,2011-02-21,2011-04-17,2014-10-16,5,Novartis,86,South Africa,53.83333333333334,4,56,88,77,73,25,36,0,4,0,False,False,True,True,True,False,True,False,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Atazanavir + Ritonavir,Product Alpha,Drug,hiv,hiv,Phase 3,2009-05-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* On continued antiretroviral (ARV) treatment, with no discontinuation periods, for the previous 6 months (24 weeks).
* Absence of evidence or suspected virologic failure on antir...",Yes,2009-06-21,FDA-75153,2.62,0.32,5.0,7.94,2011-12-13,2012-04-08,2017-04-09,1,GSK,30,Kenya,51.0,90,81,6,57,67,5,45,0,2,3,False,False,False,True,False,False,True,True,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
ALVAC-HIV,GenName Y,Biological,hiv,hiv,Phase 2,2018-08-07,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Age of 18 to 40 years
* Access to a participating HVTN CRS and willingness to be followed for the planned duration of the study
* Ability and willingness to provide informed con...",No,2019-02-23,FDA-22143,4.41,0.98,21.0,26.39,2023-01-03,2023-12-27,2044-12-26,8,Bayer,57,Kenya,42.0,0,18,1,65,74,94,73,2,3,3,True,True,True,False,False,True,True,True,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Bivalent Subtype C gp120/MF59®,GenName Y,Biological,hiv,hiv,Phase 2,2018-08-07,"Sex: ALL; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

* Age of 18 to 40 years
* Access to a participating HVTN CRS and willingness to be followed for the planned duration of the study
* Ability and willingness to provide informed con...",No,2019-02-24,FDA-69578,4.41,0.98,21.0,26.39,2023-01-03,2023-12-27,2044-12-26,49,GSK,42,Senegal,53.66666666666666,100,25,90,69,32,6,64,1,3,3,False,True,True,True,False,False,True,True,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Cyclophosphamide,AltName B,Drug,hiv,hiv,Phase 2,2018-06-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Male or female, 18 years of age or older with documented HIV diagnosis.
* Must be willing to comply with study-mandated evaluations; including discontinuation of current antiret...",Yes,2019-03-06,FDA-97103,4.41,0.98,21.0,26.39,2022-10-28,2023-10-21,2044-10-20,98,J&J,45,Senegal,46.83333333333334,62,28,17,71,30,73,45,0,2,3,False,False,True,False,False,False,True,False,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
PRO 140,GenName Y,Drug,hiv,hiv,Phase 3,2022-07-10,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria: Potential subjects are required to meet all of the following criteria for enrollment into the study.

1. Subjects who have completed 24 weeks of treatment in PRO 140\_CD 02 or CD02...",Yes,2022-12-29,FDA-35728,2.62,0.32,5.0,7.94,2025-02-20,2025-06-17,2030-06-18,74,GSK,62,Overall,34.83333333333334,35,61,0,7,68,38,55,1,4,1,False,True,True,False,True,True,True,False,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Zidovudine,AltName A,Drug,hiv,hiv,Phase 4,2008-08-01,"Sex: ALL; Age: >14 Years; Criteria: * INCLUSION CRITERIA:

Uniformed SANDF personnel or family members of SANDF personnel who are registered as eligible for health services from the SAMHS.

HIV positive as diagnosed and/or confirmed in ...",Yes,2008-12-22,FDA-17466,0.56,0.15,3.5,4.21,2009-02-21,2009-04-17,2012-10-16,34,Merck,93,South Africa,47.5,4,81,43,38,21,98,55,1,2,3,False,True,True,True,False,False,False,True,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Stavudine,Molecule Z,Drug,hiv,hiv,Phase 4,2008-08-01,"Sex: ALL; Age: >14 Years; Criteria: * INCLUSION CRITERIA:

Uniformed SANDF personnel or family members of SANDF personnel who are registered as eligible for health services from the SAMHS.

HIV positive as diagnosed and/or confirmed in ...",Yes,2009-01-18,FDA-82938,0.56,0.15,3.5,4.21,2009-02-21,2009-04-17,2012-10-16,20,Bayer,17,Senegal,30.16666666666667,42,64,8,61,6,0,55,1,4,1,True,False,True,True,False,True,True,False,False,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Didanosine,TradeName X,Drug,hiv,hiv,Phase 4,2008-08-01,"Sex: ALL; Age: >14 Years; Criteria: * INCLUSION CRITERIA:

Uniformed SANDF personnel or family members of SANDF personnel who are registered as eligible for health services from the SAMHS.

HIV positive as diagnosed and/or confirmed in ...",Yes,2009-06-19,FDA-22865,0.56,0.15,3.5,4.21,2009-02-21,2009-04-17,2012-10-16,19,Bayer,26,Kenya,36.16666666666666,72,15,5,49,10,66,55,1,4,1,True,False,True,False,True,True,True,True,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Lamivudine,Molecule Z,Drug,hiv,hiv,Phase 4,2008-08-01,"Sex: ALL; Age: >14 Years; Criteria: * INCLUSION CRITERIA:

Uniformed SANDF personnel or family members of SANDF personnel who are registered as eligible for health services from the SAMHS.

HIV positive as diagnosed and/or confirmed in ...",No,2008-11-22,FDA-35122,0.56,0.15,3.5,4.21,2009-02-21,2009-04-17,2012-10-16,19,Pfizer,99,Senegal,51.66666666666666,68,91,3,6,61,81,55,1,3,2,True,False,True,False,True,False,True,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Efavirenz,Product Alpha,Drug,hiv,hiv,Phase 4,2008-08-01,"Sex: ALL; Age: >14 Years; Criteria: * INCLUSION CRITERIA:

Uniformed SANDF personnel or family members of SANDF personnel who are registered as eligible for health services from the SAMHS.

HIV positive as diagnosed and/or confirmed in ...",Yes,2009-03-26,FDA-79015,0.56,0.15,3.5,4.21,2009-02-21,2009-04-17,2012-10-16,93,AstraZeneca,21,Senegal,43.5,45,8,65,36,31,76,27,0,2,1,False,False,False,False,True,True,False,False,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Lopinavir/Ritonavir,Comp Beta,Drug,hiv,hiv,Phase 4,2008-08-01,"Sex: ALL; Age: >14 Years; Criteria: * INCLUSION CRITERIA:

Uniformed SANDF personnel or family members of SANDF personnel who are registered as eligible for health services from the SAMHS.

HIV positive as diagnosed and/or confirmed in ...",Yes,2008-11-22,FDA-57445,0.56,0.15,3.5,4.21,2009-02-21,2009-04-17,2012-10-16,12,Novartis,56,Kenya,59.83333333333334,97,44,37,69,40,72,73,2,2,4,True,True,True,True,False,False,False,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Lovaza,Product Alpha,Drug,hiv,hiv,Phase 4,2010-10-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* HIV-infected men and women at least 18 years of age
* On stable HAART for previous three months and without anticipated changes in their HAART regimen throughout the duration of...",No,2011-09-09,FDA-88718,0.56,0.15,3.5,4.21,2011-04-23,2011-06-17,2014-12-16,11,Novartis,4,South Africa,52.16666666666666,81,92,13,55,39,33,91,2,4,4,True,True,True,True,False,True,True,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Recombinant Lactoferrin,AltName A,Drug,hiv,hiv,Phase 2,2018-01-01,"Sex: ALL; Age: >40 Years; Criteria: Inclusion Criteria:

1. HIV-positive participants receiving Antiretroviral Therapy (ART) for \>1 year
2. HIV RNA level \<200 copies/mL for at least 6 months (≥2 separate values)
3. Age \>40 years

Exc...",Yes,2018-08-29,FDA-43088,4.41,0.98,21.0,26.39,2022-05-30,2023-05-23,2044-05-22,75,Gilead,26,South Africa,59.66666666666666,56,93,42,15,95,57,55,2,3,1,True,True,True,False,True,False,True,True,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
E/C/F/TAF,AltName A,Drug,hiv,hiv,Phase 3,2025-06-18,"Sex: ALL; Age: >2 Years; Criteria: Key Inclusion Criteria:

* Cohort 1

  * 12 years to \< 18 years of age at baseline
  * Weight greater than or equal to 35 kg (77 lbs)
  * Plasma HIV-1 ribonucleic acid (RNA) levels of ≥ 1,000 copies/...",No,2025-10-07,FDA-20324,2.62,0.32,5.0,7.94,2028-01-30,2028-05-26,2033-05-27,82,AstraZeneca,75,Senegal,37.66666666666666,16,81,66,38,8,17,73,2,4,2,True,True,True,False,True,True,True,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
E/C/F/TAF (Low Dose),AltName A,Drug,hiv,hiv,Phase 3,2025-06-18,"Sex: ALL; Age: >2 Years; Criteria: Key Inclusion Criteria:

* Cohort 1

  * 12 years to \< 18 years of age at baseline
  * Weight greater than or equal to 35 kg (77 lbs)
  * Plasma HIV-1 ribonucleic acid (RNA) levels of ≥ 1,000 copies/...",Yes,2025-12-09,FDA-10587,2.62,0.32,5.0,7.94,2028-01-30,2028-05-26,2033-05-27,58,GSK,45,Kenya,59.5,55,29,21,93,88,71,55,0,3,3,False,False,True,False,True,True,False,True,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Rilpivirine,Product Alpha,Drug,hiv,hiv,Phase 2,2017-03-09,"Sex: FEMALE; Age: >18 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria: Women who meet all of the following criteria will be eligible for inclusion in the study:

* Women, 18- 45 years (inclusive) of age at Enrollment
* Female at birth
* Willing and ab...",Yes,2017-05-26,FDA-59746,4.41,0.98,21.0,26.39,2021-08-05,2022-07-29,2043-07-29,59,Pfizer,70,Senegal,49.66666666666666,4,30,94,83,42,45,45,2,2,1,True,True,True,False,False,True,False,False,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Aerosol Interferon-Gamma,Molecule Z,Drug,hiv,hiv,Phase 2,2007-08-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Positive acid-fast bacillus (AFB) smear within 14 days prior to randomization
* Cluster of Differentiation 4 greater than 200 if HIV positive
* Ability to sign consent
* Bilater...",No,2008-05-31,FDA-59284,4.41,0.98,21.0,26.39,2011-12-28,2012-12-20,2033-12-20,26,J&J,91,Kenya,58.83333333333334,54,82,18,82,80,37,73,2,4,2,True,True,True,True,False,True,True,True,True,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Subcutaneous interferon-gamma,AltName B,Drug,hiv,hiv,Phase 2,2007-08-01,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

* Positive acid-fast bacillus (AFB) smear within 14 days prior to randomization
* Cluster of Differentiation 4 greater than 200 if HIV positive
* Ability to sign consent
* Bilater...",Yes,2007-11-09,FDA-80187,4.41,0.98,21.0,26.39,2011-12-28,2012-12-20,2033-12-20,16,Gilead,29,Overall,62.5,15,64,98,4,97,97,55,1,2,3,False,True,False,True,False,False,True,True,True,False,True,HorizonScan_hiv_20251201_Harmonized.xlsx
Cannabis,AltName B,Drug,hiv,hiv,Phase 2,2022-05-31,"Sex: FEMALE; Age: >40 Years; Healthy Volunteers: Yes; Criteria: Inclusion Criteria:

1. current cannabis use (within 6 months) based on self-report
2. able to perform study procedures, including ability to ambulate independently
3. adequate hearing and vision
4. f...",Yes,2023-03-05,FDA-22195,4.41,0.98,21.0,26.39,2026-10-27,2027-10-20,2048-10-19,39,GSK,51,Kenya,70.0,76,100,85,67,84,8,45,1,3,1,False,True,True,True,True,False,False,True,False,False,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Oral Methamphetamine,Product Alpha,Drug,hiv,hiv,Phase 4,2023-01-11,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Willing and able to provide written informed consent
2. Male or female, age ≥ 18 and ≤ 65 years
3. HIV-1 infection, documented by any licensed rapid HIV test or HIV enzyme or c...",Yes,2023-05-24,FDA-60744,0.56,0.15,3.5,4.21,2023-08-03,2023-09-27,2027-03-28,71,Gilead,86,South Africa,68.0,24,91,61,84,55,93,55,1,1,4,False,True,False,False,False,False,True,True,True,True,True,HorizonScan_hiv_20251201_Harmonized.xlsx
EVG,AltName B,Drug,hiv,hiv,Phase 3,2017-11-03,"Sex: ALL; Age: >4 Weeks; Criteria: Key Inclusion Criteria:

Individuals must meet all of the following inclusion criteria to be eligible for participation in this study. Individuals with screening results that do not meet eligibility c...",Yes,2018-09-16,FDA-56380,2.62,0.32,5.0,7.94,2020-06-16,2020-10-11,2025-10-12,54,Merck,38,Senegal,59.16666666666666,80,71,53,50,32,69,55,2,2,2,True,True,False,False,True,True,False,False,True,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Background regimen,AltName A,Drug,hiv,hiv,Phase 3,2017-11-03,"Sex: ALL; Age: >4 Weeks; Criteria: Key Inclusion Criteria:

Individuals must meet all of the following inclusion criteria to be eligible for participation in this study. Individuals with screening results that do not meet eligibility c...",Yes,2018-06-24,FDA-11788,2.62,0.32,5.0,7.94,2020-06-16,2020-10-11,2025-10-12,93,Sanofi,9,South Africa,61.0,9,99,97,57,50,54,73,2,4,2,True,True,False,True,True,True,True,True,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
Recombinant Interleukin-2,Molecule Z,Drug,hiv,hiv,Phase 2,2020-08-20,"Sex: ALL; Age: >18 Years; Criteria: Inclusion Criteria:

1. Written informed consent signed and dated by study participant.
2. Male or female, at least 18 years of age and not older than 65 years of age.
3. HIV-1 infection, documented b...",Yes,2021-03-06,FDA-66268,4.41,0.98,21.0,26.39,2025-01-16,2026-01-09,2047-01-09,2,Gilead,25,South Africa,48.0,28,22,63,60,40,75,27,0,1,2,False,False,False,True,False,False,False,True,False,True,False,HorizonScan_hiv_20251201_Harmonized.xlsx
